,discr_hr,_step,_runtime,discr_sr,_timestamp,perceptual_loss,adversarial_loss,content_loss,epoch_test_psnr,epoch_test_ssim,epoch_test_lpips,epoch_test_mae
65,3.305971622467041,31973,6475,-2.211158275604248,1654248764,,,,,,,
66,2.8813259601593018,32308,6539,-3.075684070587158,1654248828,,,,,,,
67,0.28299635648727417,32515,6586,-2.3981573581695557,1654248875,,,,,,,
68,,32662,6605,,1654248894,0.08495157212018967,2.4943923950195312,0.06000765040516853,,,,
69,0.6329776644706726,35342,7136,-3.5362892150878906,1654249425,,,,,,,
70,0.9024337530136108,35880,7246,1.606068730354309,1654249535,,,,,,,
71,5.767297267913818,35934,7253,-2.5219390392303467,1654249542,,,,,,,
72,,36049,7268,,1654249557,0.05836350470781326,2.2345662117004395,0.03601784259080887,,,,
73,,36108,7296,,1654249585,0.0793074369430542,5.112290382385254,0.02818453125655651,,,,
74,3.9359116554260254,36662,7387,-1.66404390335083,1654249676,,,,,,,
